Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,69.5999984741211,69.5999984741211,69.5999984741211,69.5999984741211,400,69.5999984741211
2019-01-03,71.51000213623047,71.51000213623047,71.51000213623047,71.51000213623047,300,71.51000213623047
2019-01-04,75.33000183105469,73.19000244140625,73.19000244140625,73.75,500,73.75
2019-01-07,75.69999694824219,73.75,73.75,74.69999694824219,1000,74.69999694824219
2019-01-08,76.44999694824219,74.62999725341797,76.2699966430664,76.3499984741211,3800,76.3499984741211
2019-01-09,77.0999984741211,75.30999755859375,77.0999984741211,75.30999755859375,2500,75.30999755859375
2019-01-10,76.8499984741211,75.19999694824219,75.19999694824219,76.80000305175781,2000,76.80000305175781
2019-01-11,75.6500015258789,74.41000366210938,75.6500015258789,74.41000366210938,1100,74.41000366210938
2019-01-14,74.69999694824219,74.48999786376953,74.69999694824219,74.48999786376953,1500,74.48999786376953
2019-01-15,75.0,73.63999938964844,74.0199966430664,73.63999938964844,8100,73.63999938964844
2019-01-16,73.69999694824219,73.66000366210938,73.69000244140625,73.66000366210938,800,73.66000366210938
2019-01-17,73.7300033569336,73.7300033569336,73.7300033569336,73.7300033569336,200,73.7300033569336
2019-01-18,73.7300033569336,73.7300033569336,73.7300033569336,73.7300033569336,100,73.7300033569336
2019-01-22,74.75,73.52999877929688,73.52999877929688,74.0199966430664,1100,74.0199966430664
2019-01-23,74.51000213623047,74.51000213623047,74.51000213623047,74.51000213623047,500,74.51000213623047
2019-01-24,75.51000213623047,74.08999633789062,74.08999633789062,75.51000213623047,1100,75.51000213623047
2019-01-25,75.51000213623047,75.51000213623047,75.51000213623047,75.51000213623047,400,75.51000213623047
2019-01-28,76.12000274658203,75.56999969482422,76.12000274658203,75.87999725341797,2500,75.87999725341797
2019-01-29,75.87999725341797,75.87999725341797,75.87999725341797,75.87999725341797,0,75.87999725341797
2019-01-30,75.19999694824219,74.47000122070312,75.19999694824219,75.06999969482422,1400,75.06999969482422
2019-01-31,76.16000366210938,75.30000305175781,75.5,76.16000366210938,300,76.16000366210938
2019-02-01,76.16000366210938,76.16000366210938,76.16000366210938,76.16000366210938,400,76.16000366210938
2019-02-04,77.37999725341797,76.69000244140625,77.37999725341797,76.75,800,76.75
2019-02-05,78.6500015258789,77.37000274658203,77.37000274658203,78.6500015258789,6200,78.6500015258789
2019-02-06,78.6500015258789,78.6500015258789,78.6500015258789,78.6500015258789,5200,78.6500015258789
2019-02-07,77.55000305175781,76.0999984741211,76.91999816894531,76.38999938964844,6400,76.38999938964844
2019-02-08,76.33999633789062,75.05000305175781,75.05000305175781,76.33999633789062,11500,76.33999633789062
2019-02-11,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,200,76.4000015258789
2019-02-12,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,100,76.4000015258789
2019-02-13,77.0,76.81999969482422,77.0,76.81999969482422,7700,76.81999969482422
2019-02-14,74.43000030517578,73.83999633789062,74.43000030517578,73.83999633789062,600,73.83999633789062
2019-02-15,73.83999633789062,73.83999633789062,73.83999633789062,73.83999633789062,100,73.83999633789062
